Column_1,Column_2,Column_3,Column_4,Column_5
1253.626830172154,36.645908526721264,1187.0524627088419,597.2239889533886,1452.82982256581
31.978825892953246,899.2705712005261,25.79565016112535,3171.718271600554,972.1081340601953
125.38250222692754,54.33680006959039,248.17382815704903,651.7003102387876,4076.5191884569067
191.26812196633028,1617.21870936661,3375.457948470352,108.07679491322502,861.0890879261374
377.5895757913036,1504.8976215891128,870.4856805264401,749.2080144602445,252.08811184886318
282.7137278861738,1220.2133429393073,1106.9803902272638,2511.699864865469,230.05578926036347
1168.9012259466483,733.0490250826944,636.5780437009373,399.58608616305685,2528.2621259068437
322.01255111276174,262.1177477615712,68.46541555122155,1896.7073327104738,539.5951578882491
1102.3258046206174,30.033469470963745,1937.6346530934663,892.4412612526918,981.5518287508886
454.03415426120335,1204.374303879413,2417.7402384178504,2172.2574530866973,628.322082215876
245.14717405327528,688.4984330886274,7.265062225576219,887.2430886157713,272.1458121243233
927.0979884231045,260.67189502695317,92.83475845989526,4190.386451739213,2092.9543396661384
1497.5253075882583,1235.5356321045342,1.8544873962221167,340.66528284779963,2224.162798861591
666.9284995918113,175.64863586851502,21.40746856764563,1448.9870218458602,692.3871770583623
495.91048632415396,1163.2073807193756,395.78065707229035,716.9096036658341,185.6233678556767
148.24768954522173,687.4568346177808,1409.927597295721,504.6586728466402,2120.740302832201
195.73166363655884,358.33673591417784,1034.141421884647,904.1213915329807,657.4043133499003
7.481321541988852,1084.865172200967,3848.206024323854,1612.0819893277626,707.1583820126664
292.1409389538233,598.8953622314397,2442.0116958343256,909.6333869171605,2327.339326781125
942.4839456954533,240.28095694276053,1177.8652617570158,340.2649694895799,2689.911723908721
1228.232248137691,1188.4364823378503,1105.3567403931745,2264.766920432382,802.1484438996088
446.87901199971134,204.12411745223946,95.2632103524287,312.57991488063664,348.171369183081
760.1400414018302,723.5938272957814,4065.650211753239,559.6074732891402,6380.913795453747
703.2535229195471,1366.0579467152559,268.00906626257364,5014.911493179505,324.1174664202907
808.3072858978658,119.32895074094306,501.83223043387966,975.8026193902673,98.59841883234404
619.2574129708642,16.991312039807188,899.6092453324969,624.7173330003535,887.9632743681561
1011.3536474503119,1183.8909314727446,1352.9406529639346,1045.1243124174284,3456.1129149184776
244.8145229167911,553.8092875157182,2288.1215061614134,1271.1801712833974,501.3920662737251
13.979618249133143,857.6554595646677,575.698508515118,3224.4302111267675,3351.7503899794056
743.2916965297347,1135.6028588569413,551.9095636660173,541.6387244859551,3152.369491254288
111.22162203862747,1091.480495600612,651.5328072449952,567.1073730632372,1121.4874045891513
473.56770083445303,1557.4556923565356,818.5990958549753,789.2346843977609,23.81279860090892
659.2870817433795,1124.688889442868,1526.4233688347108,1110.175825831249,1835.855965771533
752.5186283242796,152.08502421707692,2243.5929304393017,1150.8049352680378,1977.426783124062
1430.9349229243962,1036.3753548832128,2481.14685515034,1497.196012548773,45.7838989861635
278.8984842000388,195.01758193881693,2432.1410714695985,1657.4770359142115,5695.183755851427
262.080405637165,40.82614891148401,4.126542128584794,703.8887350256082,1693.258331818408
986.5234576456131,1363.600981583807,869.0844172671673,1022.1714913640224,2769.6605832395176
